v1,v2,edge_name,edge_color,travel_seconds
SAN BERNARDO,QUEVEDO,2,#ED1C24,60
QUEVEDO,SAN BERNARDO,2,#ED1C24,60
SEVILLA,SOL,2,#ED1C24,60
SOL,SEVILLA,2,#ED1C24,60
SANTO DOMINGO,NOVICIADO,2,#ED1C24,60
NOVICIADO,SANTO DOMINGO,2,#ED1C24,60
MONCLOA,ARGÜELLES,3,#FFD000,60
MONCLOA,ARGÜELLES,6,#98989B,60
ARGÜELLES,MONCLOA,3,#FFD000,60
ARGÜELLES,MONCLOA,6,#98989B,60
VENTURA RODRIGUEZ,PLAZA DE ESPAÑA,3,#FFD000,60
PLAZA DE ESPAÑA,VENTURA RODRIGUEZ,3,#FFD000,60
SERRANO,VELAZQUEZ,4,#B65518,60
VELAZQUEZ,SERRANO,4,#B65518,60
GOYA,PRINCIPE DE VERGARA,2,#ED1C24,60
PRINCIPE DE VERGARA,GOYA,2,#ED1C24,60
COLON,ALONSO MARTINEZ,4,#B65518,60
ALONSO MARTINEZ,COLON,4,#B65518,60
CALLAO,SOL,3,#FFD000,60
SOL,CALLAO,3,#FFD000,60
OPERA,SANTO DOMINGO,2,#ED1C24,60
BILBAO,SAN BERNARDO,4,#B65518,60
SAN BERNARDO,BILBAO,4,#B65518,60
SANTO DOMINGO,OPERA,2,#ED1C24,60
EMBAJADORES,LAVAPIES,3,#FFD000,60
LAVAPIES,EMBAJADORES,3,#FFD000,60
VENTURA RODRIGUEZ,ARGÜELLES,3,#FFD000,60
CALLAO,GRAN VIA,5,#8FD400,60
ARGÜELLES,VENTURA RODRIGUEZ,3,#FFD000,60
ALONSO MARTINEZ,TRIBUNAL,10,#005AA9,60
GRAN VIA,CALLAO,5,#8FD400,60
TRIBUNAL,ALONSO MARTINEZ,10,#005AA9,60
SEVILLA,BANCO DE ESPAÑA,2,#ED1C24,60
BANCO DE ESPAÑA,SEVILLA,2,#ED1C24,60
LAS MUSAS,ESTADIO OLIMPICO,7,#EE7518,60
PALOS DE LA FRONTERA,DELICIAS,3,#FFD000,60
DELICIAS,PALOS DE LA FRONTERA,3,#FFD000,60
ESTADIO OLIMPICO,LAS MUSAS,7,#EE7518,60
BILBAO,ALONSO MARTINEZ,4,#B65518,60
ALONSO MARTINEZ,BILBAO,4,#B65518,60
OPERA,SOL,2,#ED1C24,60
SOL,OPERA,2,#ED1C24,60
CANAL,ALONSO CANO,7,#EE7518,60
ALONSO CANO,CANAL,7,#EE7518,60
TRES OLIVOS,FUENCARRAL,10,#005AA9,60
FUENCARRAL,TRES OLIVOS,10,#005AA9,60
RETIRO,PRINCIPE DE VERGARA,2,#ED1C24,60
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,3,#FFD000,60
MAR DE CRISTAL,SAN LORENZO,4,#B65518,60
SAN FERMIN-ORCASUR,HOSPITAL 12 DE OCTUBRE,3,#FFD000,60
PRINCIPE DE VERGARA,RETIRO,2,#ED1C24,60
SAN LORENZO,MAR DE CRISTAL,4,#B65518,60
CALLAO,PLAZA DE ESPAÑA,3,#FFD000,60
GOYA,VELAZQUEZ,4,#B65518,60
PLAZA DE ESPAÑA,CALLAO,3,#FFD000,60
PLAZA DE ESPAÑA,TRIBUNAL,10,#005AA9,60
VELAZQUEZ,GOYA,4,#B65518,60
TRIBUNAL,PLAZA DE ESPAÑA,10,#005AA9,60
SERRANO,COLON,4,#B65518,60
COLON,SERRANO,4,#B65518,60
CAMPAMENTO,EMPALME,5,#8FD400,60
EMPALME,CAMPAMENTO,5,#8FD400,60
MANUEL BECERRA,O'DONNELL,6,#98989B,60
PUERTA DEL SUR,JOAQUIN VILUMBRALES,10,#005AA9,60
AVENIDA DE AMERICA,DIEGO DE LEON,4,#B65518,60
AVENIDA DE AMERICA,DIEGO DE LEON,6,#98989B,60
DIEGO DE LEON,AVENIDA DE AMERICA,4,#B65518,60
DIEGO DE LEON,AVENIDA DE AMERICA,6,#98989B,60
JOAQUIN VILUMBRALES,PUERTA DEL SUR,10,#005AA9,60
METROPOLITANO,GUZMAN EL BUENO,6,#98989B,60
MANOTERAS,PINAR DE CHAMARTIN,4,#B65518,60
PINAR DE CHAMARTIN,MANOTERAS,4,#B65518,60
CALLAO,OPERA,5,#8FD400,60
OPERA,CALLAO,5,#8FD400,60
ARGANZUELA-PLANETARIO,LEGAZPI,6,#98989B,60
CHUECA,GRAN VIA,5,#8FD400,60
GRAN VIA,CHUECA,5,#8FD400,60
VENTAS,MANUEL BECERRA,2,#ED1C24,60
